id_revision,post_id,tema,subtema,cuestion,criterio_extraido,aplicacion_a_mi_caso,riesgo,prioridad,validar_con_asesor,documentos_necesarios,accion_recomendada,pregunta_asesor,titulo_post,url_post,fragmento_soporte,observaciones
RG-001,114,Gastos deducibles,gastos deducibles,Solo deducir gastos corrientes del ejercicio vinculados al inmueble y necesarios para obtener el ingreso.,Solo deducir gastos corrientes del ejercicio vinculados al inmueble y necesarios para obtener el ingreso.,"No todo gasto vale: debes justificar necesidad, vinculación y carácter corriente.",Alto,Alta,Sí,Factura | Justificante bancario | Explicación de vinculación al alquiler,Crear checklist de deducibilidad por gasto.,¿Qué criterio práctico debo usar para defender que un gasto es necesario para obtener el ingreso?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"uellos gastos corrientes del ejercicio. La palabra corriente aquí es muy importante. Es decir, todos aquellos gastos corrientes del ejercicio que estén vinculados con el inmueble y que sean necesarios para la obtención del ingreso. Súper importante esto. que sean necesarios para la obtención de los",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-002,114,Gastos deducibles,gastos deducibles,Distinguir tributos y recargos potencialmente deducibles frente a multas o sanciones no deducibles.,Distinguir tributos y recargos potencialmente deducibles frente a multas o sanciones no deducibles.,"IBI y ciertas tasas pueden entrar, pero las sanciones no.",Medio,Alta,Sí,Recibo IBI | Tasas locales | Liquidaciones,"Separar tributos, recargos y sanciones en el archivo fiscal.",¿Qué recargos e intereses locales son defendibles como deducibles y cuáles no?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"s de demora. Pero si me han multado o me han sancionado por cualquier motivo, no se podría incluir. Es decir, se incluye recargos, intereses y demoras, no se incluyen multas ni sanciones, súper importante. Segundo grupito, saldo de dudoso cobro, ¿vale? Bueno, ya lo he comentado en alguna ocasión, so",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-003,114,Alquiler por habitaciones,ingresos por habitación,El saldo de dudoso cobro exige plazo y primera gestión de cobro acreditable.,El saldo de dudoso cobro exige plazo y primera gestión de cobro acreditable.,"Si hay impago de una habitación, documenta desde el primer día la reclamación.",Alto,Alta,Sí,Requerimiento de pago | Correo o burofax | Extractos sin cobro,Abrir protocolo de impago con fecha de primera reclamación.,¿Qué prueba concreta acepta Hacienda para acreditar la primera gestión de cobro y el plazo de seis meses?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"sión, sobre todo por el grupo de Telegram, de suscriptores Premium, pero que sepáis que aquellos ingresos que no han sido cobrados después de seis meses de la primera gestión de cobro, ¿vale? Y el 39 de diciembre, obviamente, pues es decir, desde que han transcurrido seis meses hasta el 31 de diciem",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-004,114,Alquiler por habitaciones,ingresos por habitación,Las primas de seguros vinculadas al alquiler pueden ser deducibles.,Las primas de seguros vinculadas al alquiler pueden ser deducibles.,"Útil para RC, incendio, robo o impago si protegen la explotación del inmueble.",Medio,Alta,Sí,Póliza | Recibo del seguro | Justificante bancario,Guardar pólizas y recibos anuales en el expediente del inmueble.,¿Qué seguros concretos de mi alquiler por habitaciones son deducibles en IRPF?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"seguros, ¿no? Pues todos aquellos seguros que yo pago y que son necesarios para obtener los ingresos, ¿vale? Seguro de responsabilidad civil, seguro de incendio, seguro de robo, seguro de impago de inclino, ¿vale? Muy comúnmente hoy en día. Es habitual que la mayoría de las inversiones que hacemos p",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-005,114,Gastos deducibles,gastos deducibles,Los gastos de formalización del contrato y ciertos servicios profesionales pueden ser deducibles si están facturados.,Los gastos de formalización del contrato y ciertos servicios profesionales pueden ser deducibles si están facturados.,"Puede afectar a gestoría, abogado, inmobiliaria o redacción contractual.",Medio,Alta,Sí,Factura profesional | NIF/CIF proveedor | Justificante bancario,Pedir siempre factura nominativa de los servicios profesionales.,¿Qué servicios de gestión o redacción contractual puedo deducir sin elevar riesgo?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"pues que sepáis que la cuota de ese seguro de impago anual me la puedo deducir, ¿vale? Es un gasto deducible. Gastos de formalización del contrato, si pago una gestoría, si pago una asesoría, pago a un abogado, pago a una inmobiliaria para que me redacte los contratos, pues todo eso se",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-006,114,Alquiler por habitaciones,ingresos por habitación,Los suministros repercutidos deben declararse como ingreso y como gasto aunque el efecto final sea neutro.,Los suministros repercutidos deben declararse como ingreso y como gasto aunque el efecto final sea neutro.,Muy relevante si cobras habitación más suministros.,Alto,Alta,Sí,Contrato | Facturas de suministros | Cobros del inquilino,Separar contractualmente renta base y suministros repercutidos.,¿Cómo prorrateo y justifico los suministros cuando varias habitaciones comparten piso?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"o. De tal forma que el efecto en renta sea neutro, sea cero. Si yo declaro 50 como ingresos y 50 como gastos, 50 menos 50 son cero, ¿vale? No tiene influencia... en renta, pero, ojo, que no tenga influencia en renta, que el efecto sea neutro fiscal, no quiere decir que",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-007,114,Alquiler por habitaciones,ingresos por habitación,"Puede haber gastos deducibles fuera de la lista típica, pero exigen factura y necesidad real.","Puede haber gastos deducibles fuera de la lista típica, pero exigen factura y necesidad real.","Si delegas gestión o pagas un tercero, solo es defendible con factura y vínculo claro.",Alto,Alta,Sí,Factura | Contrato/encargo | Justificante bancario,No meter gastos atípicos sin factura y sin nota de justificación.,¿Qué gastos no estándar de gestión del alquiler por habitaciones son razonablemente defendibles?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"a. Y luego, súper importante, lo que recargo aquí, que hay mucha gente que se confunde con esto. Estos gastos no son una lista cerrada. No son una lista cerrada, como lo veremos. Se puede incluir cualquier otro gasto, pero ojo, que sea necesario para obtener los ingresos. P",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-008,114,Gastos deducibles,gastos deducibles,Prorratear determinados gastos al periodo realmente alquilado.,Prorratear determinados gastos al periodo realmente alquilado.,"Si no alquilas todo el año, necesitas criterio temporal defendible.",Medio,Alta,Sí,Calendario de alquiler | Contratos | Cuadro de prorrateo,Llevar calendario anual de ocupación y prorrateo.,¿Qué gastos debo prorratear por tiempo de alquiler y cuáles no?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"total y lo acumulo. Ojo que aquí... Estoy acumulando importe anual, ¿vale? Y ojo, hay que tener en cuenta que solo me puedo deducir aquello en el cual el piso ha estado alquilado. Imaginaros que yo el piso lo he tenido alquilado desde junio a diciembre, que son seis meses, no me voy a meter aquí las",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-009,114,Gastos deducibles,gastos deducibles,No deducir seguros de vida del préstamo salvo que fueran necesarios para obtenerlo.,No deducir seguros de vida del préstamo salvo que fueran necesarios para obtenerlo.,"Si la hipoteca tiene productos vinculados, distingue requisito real frente a bonificación comercial.",Alto,Alta,Sí,Oferta vinculante/FEIN | Escritura préstamo | Recibos del seguro,Revisar la documentación del préstamo antes de deducir seguros asociados.,¿Mi seguro vinculado al préstamo era requisito real o solo bonificación del tipo?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,"anterior pero, bueno, por la clase 11 que no recuerdo que era los seguros de vida, me lo pregunta mucha gente solo se puede meter aquí si son necesarios para obtener el préstamo, si no es necesario para obtener el préstamo es decir, un mero bonificador del tipo de interés no es un gasto deducible, v",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-011,105,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 13: Amortización del Mobiliario,https://fiscalizarte.substack.com/p/clase-13-amortizacion-del-mobiliario,"os estado viendo los diferentes gastos deducibles que se consideran gastos del ejercicio, es decir, gastos de reparación y conservación y intereses, gastos por interés y financiación, Hemos estado viendo también una amortización muy importante, que es la amort",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
