id_revision,tema,cuestion,criterio_extraido,aplicacion_a_mi_caso,riesgo,prioridad,validar_con_asesor,documentos_necesarios,accion_recomendada,pregunta_asesor,posts_soporte,urls_soporte,ids_origen,observaciones
R01,Gastos deducibles,Qué gastos son defendibles como deducibles y con qué criterio general.,Solo deducir gastos corrientes del ejercicio vinculados al inmueble y necesarios para obtener el ingreso.,"No todo gasto vale: debes justificar necesidad, vinculación y carácter corriente.",Alto,Alta,Sí,Factura | Justificante bancario | Explicación de vinculación al alquiler,Crear checklist de deducibilidad por gasto.,¿Qué criterio práctico debo usar para defender que un gasto es necesario para obtener el ingreso?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,114,Cuestión consolidada desde 1 fila(s) del consolidado.
R02,Intereses hipotecarios,Qué parte de intereses y gastos de financiación puede revisarse como deducible.,"Distinguir tributos y recargos potencialmente deducibles frente a multas o sanciones no deducibles. | Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","IBI y ciertas tasas pueden entrar, pero las sanciones no. Sirve para blindar una futura comprobación.",Medio,Alta,Sí,Recibo IBI | Tasas locales | Liquidaciones | Facturas | Contratos | Extractos bancarios,"Separar tributos, recargos y sanciones en el archivo fiscal. | Guardar el soporte probatorio vinculado a este criterio.",¿Qué recargos e intereses locales son defendibles como deducibles y cuáles no?,#Clase 12: Otros gastos deducibles en el RCI | #Clase 10: Los intereses y gastos de financiación | Directo y al grano!,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles | https://fiscalizarte.substack.com/p/clase-10-los-intereses-y-gastos-de | https://fiscalizarte.substack.com/p/directo-y-al-grano,114 | 118 | 224,Cuestión consolidada desde 3 fila(s) del consolidado.
R03,Alquiler por habitaciones,Qué criterios fiscales básicos cambian cuando el alquiler es por habitaciones y no del piso completo.,El saldo de dudoso cobro exige plazo y primera gestión de cobro acreditable. | Las primas de seguros vinculadas al alquiler pueden ser deducibles. | Los suministros repercutidos deben declararse como ingreso y como gasto aunque el efecto final sea neutro.,"Si hay impago de una habitación, documenta desde el primer día la reclamación. Útil para RC, incendio, robo o impago si protegen la explotación del inmueble.",Alto,Alta,Sí,Requerimiento de pago | Correo o burofax | Extractos sin cobro | Póliza | Recibo del seguro | Justificante bancario | Contrato | Facturas de suministros | Cobros del inquilino | Factura | Contrato/encargo | Resumen anual de ingresos | Relación de gastos | Contratos | Facturas | Justificantes de pago | Extractos bancarios | Escritura/compra | IBI con valores | Facturas mobiliario | Factura detallada | Presupuesto | Fotos antes/después | Fecha | Prueba de puesta en alquiler | Borrador renta | Escenario de tributación | Flujo de caja anual | Prueba de uso/residencia | Histórico de inquilinos | Recibo IBI | Recibos comunidad | Pólizas/recibos | Facturas suministros,Abrir protocolo de impago con fecha de primera reclamación. | Guardar pólizas y recibos anuales en el expediente del inmueble. | Separar contractualmente renta base y suministros repercutidos.,¿Qué prueba concreta acepta Hacienda para acreditar la primera gestión de cobro y el plazo de seis meses?,"#Clase 12: Otros gastos deducibles en el RCI | #Clase 16: Cálculo del Rendimiento Neto/Reducido. | #Clase 27: Declara tus pisos por habitaciones de esta forma y ahorra impuestos. | #Clase 6: Cálculo del Rendimiento de Capital Inmobiliario. | #Clase 8: Gastos Deducibles (Cuestiones Comunes) | ¿Alquilas habitaciones en tu vivienda habitual? Así afecta a tu IRPF y a la exención por venta de vivienda habitual | 🏠 Alquilas tu piso por habitaciones… pero, ¿sabes cómo declarar bien la amortización del inmueble? | #Clase 11: Los gastos de reparación y conservación | 🏠💸 ERROR FRECUENTE EN RENTAS DE INMUEBLES: ""Se me olvidaron los gastos de reparación el año pasado... ¿Y ahora qué? | #Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad. | ¿Persona física o sociedad? La gran pregunta en inversión inmobiliaria | Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%. | #Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad. | Me casé, vendí mi casa… y Hacienda quiere venir a la luna de miel | #Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF | Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia | “¿Por qué todo el mundo me dice que cree una sociedad si ya pago menos como no residente?” | #Clase 31: Cómo leer la contabilidad básica de una sociedad de capital aunque no seas contable. | Este inversor está jodido..",https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles | https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento | https://fiscalizarte.substack.com/p/clase-27-declara-tus-pisos-por-habitaciones | https://fiscalizarte.substack.com/p/clase-6-calculo-del-rendimiento-de | https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones | https://fiscalizarte.substack.com/p/alquilas-habitaciones-en-tu-vivienda | https://fiscalizarte.substack.com/p/alquilas-tu-piso-por-habitaciones | https://fiscalizarte.substack.com/p/clase-11-los-gastos-de-reparacion | https://fiscalizarte.substack.com/p/error-frecuente-en-rentas-de-inmuebles | https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la | https://fiscalizarte.substack.com/p/persona-fisica-o-sociedad-la-gran | https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero | https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede | https://fiscalizarte.substack.com/p/me-case-vendi-mi-casa-y-hacienda | https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas | https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo | https://fiscalizarte.substack.com/p/por-que-todo-el-mundo-me-dice-que | https://fiscalizarte.substack.com/p/clase-31-como-leer-la-contabilidad | https://fiscalizarte.substack.com/p/este-inversor-esta-jodido,114 | 77 | 14 | 141 | 135 | 174 | 91 | 116 | 88 | 29 | 188 | 34 | 1 | 49 | 66 | 48 | 45 | 5 | 172,Cuestión consolidada desde 30 fila(s) del consolidado.
R04,Contrato / anexos,Qué debe reflejar el contrato o anexo para ser coherente con el criterio fiscal aplicado.,"Los gastos de formalización del contrato y ciertos servicios profesionales pueden ser deducibles si están facturados. | Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Puede afectar a gestoría, abogado, inmobiliaria o redacción contractual. Sirve para blindar una futura comprobación.",Medio,Alta,Sí,Factura profesional | NIF/CIF proveedor | Justificante bancario | Facturas | Contratos | Extractos bancarios,Pedir siempre factura nominativa de los servicios profesionales. | Guardar el soporte probatorio vinculado a este criterio.,¿Qué servicios de gestión o redacción contractual puedo deducir sin elevar riesgo?,#Clase 12: Otros gastos deducibles en el RCI | #Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad.,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles | https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la,114 | 29,Cuestión consolidada desde 2 fila(s) del consolidado.
R05,Imputación temporal,Cómo prorratear gastos o periodificar criterios cuando el inmueble no está alquilado todo el tiempo.,Prorratear determinados gastos al periodo realmente alquilado.,"Si no alquilas todo el año, necesitas criterio temporal defendible.",Medio,Alta,Sí,Calendario de alquiler | Contratos | Cuadro de prorrateo,Llevar calendario anual de ocupación y prorrateo.,¿Qué gastos debo prorratear por tiempo de alquiler y cuáles no?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,114,Cuestión consolidada desde 1 fila(s) del consolidado.
R06,Intereses hipotecarios,Cuándo un seguro vinculado al préstamo puede o no ser deducible.,No deducir seguros de vida del préstamo salvo que fueran necesarios para obtenerlo.,"Si la hipoteca tiene productos vinculados, distingue requisito real frente a bonificación comercial.",Alto,Alta,Sí,Oferta vinculante/FEIN | Escritura préstamo | Recibos del seguro,Revisar la documentación del préstamo antes de deducir seguros asociados.,¿Mi seguro vinculado a la hipoteca era requisito del préstamo o solo bonificación del tipo?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,114,Cuestión consolidada desde 1 fila(s) del consolidado.
R07,Amortización,Cómo amortizar correctamente el mobiliario del alquiler por habitaciones.,"Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario. | El post aporta criterio útil sobre amortización de inmueble, mobiliario o accesorios.",Puede ayudarte a no perder deducción o a no aplicarla mal. Puede ayudarte a no perder deducciones o a no aplicarlas mal.,Alto,Alta,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar ficha separada de amortización si este criterio aplica. | Preparar o revisar ficha de amortización si aplica.,¿Cómo debo calcular esta amortización en mi caso concreto?,"#Clase 13: Amortización del Mobiliario | #Clase 16: Cálculo del Rendimiento Neto/Reducido. | #Clase 8: Gastos Deducibles (Cuestiones Comunes) | #Clase 10: Los intereses y gastos de financiación | #Clase 5: Imputación de Rentas Inmobilirias. | No cometas este grave error al declarar tus alquileres | No entiendo el concepto de amortización de IRPF, ¿Se corresponde con el importe de amortización de la cuota de la hipoteca? | 🧾 Fiscalidad Inmobiliaria | ¿Cómo se calcula la amortización fiscal de un inmueble heredado y alquilado? | #Clase 22: Planificación fiscal con JERO ´´Inversor de la Comunidad Fiscalizarte`` | Directo y al grano! | #Clase 15: Cuestiones Comunes a los gastos deducibles. | … esto es lo que te estás perdiendo... | #Clase 9: La Amortización Fiscal del Inmueble | #Clase 30: Clase BOMBA: así realizo una auditoría fiscal-patrimonial de un inversor de mi comunidad. | Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%. | #Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF | Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia",https://fiscalizarte.substack.com/p/clase-13-amortizacion-del-mobiliario | https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento | https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones | https://fiscalizarte.substack.com/p/clase-10-los-intereses-y-gastos-de | https://fiscalizarte.substack.com/p/clase-5-imputacion-de-rentas-inmobilirias | https://fiscalizarte.substack.com/p/no-cometas-este-grave-error-al-declarar | https://fiscalizarte.substack.com/p/no-entiendo-el-concepto-de-amortizacion | https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-como-se-calcula | https://fiscalizarte.substack.com/p/clase-22-planificacion-fiscal-con | https://fiscalizarte.substack.com/p/directo-y-al-grano | https://fiscalizarte.substack.com/p/clase-15-cuestiones-comunes-a-los | https://fiscalizarte.substack.com/p/esto-es-lo-que-te-estas-perdiendo | https://fiscalizarte.substack.com/p/clase-9-la-amortizacion-fiscal-del | https://fiscalizarte.substack.com/p/clase-30-clase-bomba-asi-realizo | https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero | https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas | https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo,105 | 77 | 135 | 118 | 144 | 214 | 223 | 75 | 41 | 224 | 84 | 76 | 127 | 6 | 34 | 66 | 48,Cuestión consolidada desde 17 fila(s) del consolidado.
R08,Reparación vs mejora,Cómo distinguir reparación o conservación frente a mejora o ampliación.,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post. | Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario. | Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Útil para clasificar facturas y evitar errores ante Hacienda. Puede ayudarte a no perder deducción o a no aplicarla mal.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después | Escritura/compra | IBI con valores | Facturas mobiliario | Facturas | Contratos | Extractos bancarios | Descripción técnica | Factura | Memoria o presupuesto | Comparativa antes/después | Factura con dirección del inmueble | Justificante bancario | Cuadro anual de pendientes | Copia de declaraciones,Clasificar la factura afectada antes de meterla en renta. | Preparar ficha separada de amortización si este criterio aplica. | Guardar el soporte probatorio vinculado a este criterio.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,"#Clase 13: Amortización del Mobiliario | #Clase 16: Cálculo del Rendimiento Neto/Reducido. | #Clase 6: Cálculo del Rendimiento de Capital Inmobiliario. | #Clase 8: Gastos Deducibles (Cuestiones Comunes) | Reparaciones en tu edificio alquilado: ¿puedes deducirlas en el IRPF? | #Clase 11: Los gastos de reparación y conservación | ¿Sabías que puedes deducir los gastos de reparación de tus pisos en alquiler? 🛠️💸 | #Clase 10: Los intereses y gastos de financiación | #Clase 14: Amortización de las mejoras. | Directo y al grano! | 🏠💸 ERROR FRECUENTE EN RENTAS DE INMUEBLES: ""Se me olvidaron los gastos de reparación el año pasado... ¿Y ahora qué? | #Clase 15: Cuestiones Comunes a los gastos deducibles. | #Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad. | … esto es lo que te estás perdiendo... | #Clase 30: Clase BOMBA: así realizo una auditoría fiscal-patrimonial de un inversor de mi comunidad. | #Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF",https://fiscalizarte.substack.com/p/clase-13-amortizacion-del-mobiliario | https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento | https://fiscalizarte.substack.com/p/clase-6-calculo-del-rendimiento-de | https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones | https://fiscalizarte.substack.com/p/reparaciones-en-tu-edificio-alquilado | https://fiscalizarte.substack.com/p/clase-11-los-gastos-de-reparacion | https://fiscalizarte.substack.com/p/sabias-que-puedes-deducir-los-gastos | https://fiscalizarte.substack.com/p/clase-10-los-intereses-y-gastos-de | https://fiscalizarte.substack.com/p/clase-14-amortizacion-de-las-mejoras | https://fiscalizarte.substack.com/p/directo-y-al-grano | https://fiscalizarte.substack.com/p/error-frecuente-en-rentas-de-inmuebles | https://fiscalizarte.substack.com/p/clase-15-cuestiones-comunes-a-los | https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la | https://fiscalizarte.substack.com/p/esto-es-lo-que-te-estas-perdiendo | https://fiscalizarte.substack.com/p/clase-30-clase-bomba-asi-realizo | https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas,105 | 77 | 141 | 135 | 146 | 116 | 201 | 118 | 102 | 224 | 88 | 84 | 29 | 76 | 6 | 66,Cuestión consolidada desde 25 fila(s) del consolidado.
R09,Amortización,"Cómo amortizar el inmueble y, en su caso, elementos accesorios.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal. | El post aporta criterio sobre gastos deducibles o su defensa documental. | El post exige soporte documental concreto para defender el criterio ante Hacienda.",Sirve para blindar una futura comprobación. Te sirve para decidir qué gastos meter y cómo defenderlos.,Alto,Alta,Sí,Facturas | Contratos | Extractos bancarios | Justificantes bancarios | Explicación de vinculación,Guardar el soporte probatorio vinculado a este criterio. | Revisar este criterio antes de incluir gastos discutibles. | Guardar soporte probatorio ligado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 13: Amortización del Mobiliario | No cometas este grave error al declarar tus alquileres | 🧾 Fiscalidad Inmobiliaria | ¿Cómo se calcula la amortización fiscal de un inmueble heredado y alquilado? | … esto es lo que te estás perdiendo... | #Clase 9: La Amortización Fiscal del Inmueble | Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%.,https://fiscalizarte.substack.com/p/clase-13-amortizacion-del-mobiliario | https://fiscalizarte.substack.com/p/no-cometas-este-grave-error-al-declarar | https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-como-se-calcula | https://fiscalizarte.substack.com/p/esto-es-lo-que-te-estas-perdiendo | https://fiscalizarte.substack.com/p/clase-9-la-amortizacion-fiscal-del | https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero,105 | 214 | 75 | 76 | 127 | 34,Cuestión consolidada desde 7 fila(s) del consolidado.
R10,Reducción vivienda habitual,Cuándo puede ser defendible aplicar la reducción por vivienda habitual.,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 16: Cálculo del Rendimiento Neto/Reducido.,https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento,77,Cuestión consolidada desde 1 fila(s) del consolidado.
