id_item,tema,documento,para_que_sirve,cuando_obtenerlo,obligatorio_recomendado,riesgo_si_falta,relacionado_con,accion_practica,ids_revision_soporte
D01,Contrato / anexos,Contrato por habitación,"Acredita renta, duración, uso pactado y tratamiento individualizado por habitación.",Antes de firmar cada entrada de inquilino,Obligatorio,Alto,"Declaración separada por habitación, reducción, ingresos, uso del inmueble",Usar un modelo por habitación y guardar copia firmada.,RG-017
D02,Contrato / anexos,Anexos o normas de convivencia,"Permiten documentar reglas de uso, convivencia y, en su caso, reparto o repercusión de suministros.",Junto con el contrato o antes de la entrada,Recomendado,Medio,"Suministros, convivencia, prueba contractual","Adjuntar anexo firmado si hay normas, suministros o reparto de gastos.",
D03,Prueba documental,Justificantes bancarios de cobro,Prueban ingresos cobrados por habitación y ayudan a cuadrar cobros con contrato y renta declarada.,Cada cobro mensual,Obligatorio,Alto,"Ingresos por habitación, requerimientos de Hacienda",Cobrar por canal bancario y archivar extractos por mes e inquilino.,RG-012 | RG-016 | RG-019 | RG-026 | RG-028 | RG-034 | RG-043 | RG-046 | RG-049 | RG-052 | RG-055 | RG-059 | RG-066 | RG-070 | RG-073 | RG-075 | RG-078
D04,Prueba documental,Facturas de reparaciones,Sirven para defender reparaciones y distinguirlas de mejoras.,Con cada reparación,Obligatorio,Alto,"Reparación vs mejora, gastos deducibles",Pedir factura detallada con concepto claro y vinculación al inmueble.,RG-011 | RG-015 | RG-022 | RG-025 | RG-027 | RG-031 | RG-033 | RG-035 | RG-042 | RG-045 | RG-051 | RG-058 | RG-061 | RG-063 | RG-065 | RG-069 | RG-072 | RG-077
D05,Prueba documental,Facturas de suministros,Soportan suministros pagados por la propiedad y su posible repercusión al inquilino.,Mensual o según emisión,Obligatorio,Medio,Suministros repercutidos o incluidos,Archivar por mes y enlazarlas con contrato y cobros.,RG-006
D06,Suministros / comunidad / IBI / seguros,Recibos de comunidad,Prueban gastos de comunidad y su criterio de imputación temporal o proporcional.,Cuando se giren,Obligatorio,Medio,Gastos deducibles del inmueble,Guardar todos los recibos y marcar periodo al que corresponden.,RG-055 | RG-078
D07,Suministros / comunidad / IBI / seguros,Recibo de IBI,Prueba el IBI soportado y ayuda a justificar criterio de deducción o imputación.,Anual,Obligatorio,Medio,"IBI, gastos deducibles, posibles requerimientos",Archivar recibo anual y criterio de reparto si no aplica a todo el año.,
D08,Suministros / comunidad / IBI / seguros,Póliza y recibos de seguro de hogar,Permiten probar el coste del seguro del inmueble y su vinculación al alquiler.,Al contratar y en cada renovación,Según caso,Medio,"Seguro hogar, gastos deducibles","Guardar póliza, recibos y justificante bancario.",
D09,Suministros / comunidad / IBI / seguros,Póliza y recibos de seguro de impago,Sirven para acreditar el coste del seguro de impago si se deduce.,Al contratar y en cada renovación,Según caso,Medio,"Seguro de impago, impagos","Guardar póliza, recibos y prueba de cobertura contratada.",
D10,Intereses hipotecarios,Justificantes de intereses hipotecarios,Deben separar intereses de devolución del principal y vincular el préstamo al inmueble.,Cada cuota y resumen anual,Según caso,Alto,"Intereses préstamo, deducibilidad, Hacienda",Pedir o descargar certificado bancario anual y conservar escritura/contrato de préstamo.,RG-046
D11,Prueba documental,Prueba de residencia habitual del inquilino,"Ayuda a sostener que el uso es residencial y no temporal, si se quiere defender reducción o tratamiento residencial.","Al inicio y, si hace falta, durante la relación",Según caso,Alto,"Reducción vivienda habitual, finalidad del arrendamiento",Guardar la prueba que mejor acredite residencia efectiva cuando sea relevante.,RG-018
D12,Prueba documental,Fotos antes/después si hay obras,Ayudan a defender naturaleza de la actuación y diferenciar reparación de mejora.,Antes y después de ejecutar la obra,Según caso,Medio,"Reparación vs mejora, obras previas",Hacer carpeta fotográfica fechada por actuación.,RG-011 | RG-015 | RG-022 | RG-025 | RG-027 | RG-031 | RG-033 | RG-035 | RG-042 | RG-045 | RG-051 | RG-058 | RG-061 | RG-063 | RG-065 | RG-069 | RG-072 | RG-077
D13,Prueba documental,Comunicaciones con inquilinos,"Pueden probar impagos, reclamaciones, suministros repercutidos o incidencias relevantes.",Cuando surjan incidencias o reclamaciones,Según caso,Alto,"Impagos, requerimientos, cambios de uso o gasto","Guardar correos, WhatsApp exportados o burofax con fecha.",RG-003
D14,Prueba documental,Desglose de facturas de obra,"Permite separar partidas de reparación, mejora o elementos amortizables dentro de una misma factura.",Con cada reforma u obra mixta,Según caso,Alto,"Reparación vs mejora, amortización de mejoras",Pedir al proveedor factura desglosada por conceptos.,RG-036
D15,Gestión operativa,Criterio de reparto de gastos,Sirve para justificar cómo repartes suministros o gastos comunes entre habitaciones o periodos.,Antes de declarar y cuando cambie la ocupación,Según caso,Medio,"Suministros, prorrateos, comunidad, IBI",Dejar por escrito la regla de reparto y aplicarla siempre igual.,RG-006 | RG-008
